No,countNAs,percentNA,cat,,,,
37,2287,0.0046505,addepev2,Ever Told You Had A Depressive Disorder,,,addepev2 - Ever Told You Had A Depressive Disorder
62,19642,0.0399412,alcday5,Days In Past 30 Had Alcoholic Beverage,,,alcday5 - Days In Past 30 Had Alcoholic Beverage
32,1558,0.0031681,asthma3,Ever Told Had Asthma,,,asthma3 - Ever Told Had Asthma
132,37493,0.0762405,beanday_,Computed Bean Intake In Times Per Day,,,beanday_ - Computed Bean Intake In Times Per Day
55,11077,0.0225246,blind,Blind Or Difficulty Seeing,,,blind - Blind Or Difficulty Seeing
26,9008,0.0183174,bloodcho,Ever Had Blood Cholesterol Checked,,,bloodcho - Ever Had Blood Cholesterol Checked
25,1418,0.0028834,bphigh4,Ever Told Blood Pressure High,,,bphigh4 - Ever Told Blood Pressure High
13,135149,0.2748199,cellfon3,cellfon3,,,cellfon3 - cellfon3
35,2723,0.0055371,chccopd1,"(Ever Told) You Have (Copd) Chronic Obstructive Pulmonary Disease, Emphysema Or",,,"chccopd1 - (Ever Told) You Have (Copd) Chronic Obstructive Pulmonary Disease, Emphysema Or"
38,1719,0.0034955,chckidny,(Ever Told) You Have Kidney Disease?,,,chckidny - (Ever Told) You Have Kidney Disease?
34,1147,0.0023324,chcocncr,(Ever Told) You Had Any Other Types Of Cancer?,,,chcocncr - (Ever Told) You Had Any Other Types Of Cancer?
33,1308,0.0026598,chcscncr,(Ever Told) You Had Skin Cancer?,,,chcscncr - (Ever Told) You Had Skin Cancer?
23,6303,0.0128169,checkup1,Length Of Time Since Last Routine Checkup,,,checkup1 - Length Of Time Since Last Routine Checkup
42,2272,0.00462,children,Number Of Children In Household,,,children - Number Of Children In Household
27,73176,0.1488004,cholchk,How Long Since Cholesterol Checked,,,cholchk - How Long Since Cholesterol Checked
49,135079,0.2746775,cpdemo1,Do You Have A Cell Phone For Personal Use?,,,cpdemo1 - Do You Have A Cell Phone For Personal Use?
10,39,0.0000793,ctelenum,Cell number,,,ctelenum - Cell number
30,4422,0.008992,cvdcrhd4,Ever Diagnosed With Angina Or Coronary Heart Disease,,,cvdcrhd4 - Ever Diagnosed With Angina Or Coronary Heart Disease
29,2586,0.0052585,cvdinfr4,Ever Diagnosed With Heart Attack,,,cvdinfr4 - Ever Diagnosed With Heart Attack
31,1466,0.0029811,cvdstrk3,Ever Diagnosed With A Stroke,,,cvdstrk3 - Ever Diagnosed With A Stroke
56,12988,0.0264106,decide,Difficulty Concentrating Or Remembering,,,decide - Difficulty Concentrating Or Remembering
79,144719,0.2942801,delaymed,Delayed Getting Medical Care,,,delaymed - Delayed Getting Medical Care
76,0,0,diabage2,Age When Told Diabetic,,,diabage2 - Age When Told Diabetic
39,831,0.0016898,diabete3,(Ever Told) You Have Diabetes,,,diabete3 - (Ever Told) You Have Diabetes
59,13348,0.0271426,diffalon,Difficulty Doing Errands Alone,,,diffalon - Difficulty Doing Errands Alone
